cpa_id,cluster
274230,2
274226,2
274229,2
277377,2
280926,2
277355,2
274234,2
274235,2
274225,2
274236,2
274540,2
280999,2
285825,0
279713,0
279942,0
279941,0
285804,0
279943,0
276936,0
245944,0
278431,0
281426,0
277037,0
279782,0
285776,0
285805,0
285803,0
285826,0
277049,0
278430,0
245964,0
285775,0
276937,0
278432,0
280003,0
279758,0
278410,0
278409,0
285773,0
277048,0
281513,0
285777,0
279761,0
277036,0
276943,0
279786,0
285744,0
281425,0
285806,0
278411,0
276947,0
280030,0
276942,0
278038,0
278429,0
277063,0
280240,0
38390,2
285743,0
285824,0
283401,0
38391,2
280031,0
283795,0
280004,0
38481,2
285827,0
280079,0
285802,0
281509,0
285774,0
46799,2
279787,0
285745,0
278392,0
280050,0
46801,2
285778,0
281942,0
277535,0
282163,0
277035,0
285746,0
280001,0
280888,0
279710,0
280005,0
278408,0
273543,0
285823,0
279783,0
46800,2
285828,0
278393,0
285742,0
280078,0
38480,2
46796,2
2132,2
278412,0
278433,0
282124,0
38393,2
285708,0
285709,0
285807,0
280058,0
281514,0
279936,0
283556,0
285707,0
279368,0
38395,2
285710,0
46797,2
278146,0
280032,0
279788,0
278124,0
280247,0
279790,0
285747,0
280027,0
282129,0
279681,0
277540,0
280002,0
280006,0
280057,0
280104,0
283553,0
285669,0
280022,0
280107,0
38392,2
279791,0
281510,0
282154,0
280103,0
279984,0
31286,2
281518,0
281504,0
280059,0
46012,2
285808,0
285668,0
278141,0
279673,0
280055,0
285667,0
280029,0
279714,0
285670,0
278145,0
246014,0
46143,2
31287,2
280077,0
285671,0
285809,0
279336,0
279792,0
279366,0
280229,0
278123,0
46015,2
279784,0
279937,0
279985,0
280023,0
285672,0
282983,0
30432,2
279682,0
282145,0
280125,0
279335,0
46792,2
280102,0
280056,0
46062,2
280254,0
282692,0
282940,0
46009,2
279789,0
280231,0
282144,0
278140,0
38397,2
282693,0
280082,0
279337,0
281869,0
279711,0
280230,0
278164,0
285673,0
279794,0
279793,0
280048,0
278122,0
283024,0
285821,0
285624,0
278163,0
279365,0
278112,0
280106,0
285822,0
279319,0
279330,0
245883,1
30084,2
279332,0
251001,2
268273,1
30463,2
278188,0
278139,0
279032,0
254034,2
268274,1
279719,0
271177,0
279327,0
279318,0
278162,0
273834,0
279364,0
271824,1
280235,0
267149,1
279333,0
278512,0
265389,0
285885,0
279712,0
278111,0
292756,0
260541,1
292755,0
245906,1
292757,0
279329,0
279331,0
285852,0
278121,0
278189,0
254036,2
278187,0
251000,2
1970,2
268277,1
275944,1
251002,2
278489,0
279320,0
30069,2
280126,0
267177,1
27777,2
271823,1
267140,1
30074,2
260562,1
264414,1
278488,0
254037,2
46166,2
254035,2
30083,2
30082,2
1963,2
268276,1
267141,1
30079,2
275945,1
260543,1
278214,0
275954,1
264413,1
279317,0
263958,0
260540,1
245909,1
278926,0
254038,2
280127,0
267148,1
250335,2
268270,1
260585,1
275801,1
264409,1
30065,2
250999,2
245882,1
275955,1
30516,2
260561,1
279316,0
292754,0
285853,0
260542,1
272182,1
268269,1
279363,0
1961,2
245822,0
271914,1
275943,1
267133,1
272189,1
278541,0
30087,2
267207,1
271513,0
273833,0
245911,1
267610,1
268281,1
259315,1
280108,0
272175,1
285886,0
267139,1
267174,1
268280,1
278927,0
260586,1
30512,2
30086,2
275953,1
267178,1
263983,0
268275,1
267541,1
26881,2
30062,2
280172,0
30085,2
285915,0
264415,1
263759,0
263743,0
268271,1
278542,0
253207,2
