model,zone,planning_year,case,unit,value
SWITCH,PJMC,2040,base_52_week,kg,2847109676.109925
SWITCH,PJMD,2040,base_52_week,kg,3113795140.251767
SWITCH,PJME,2040,base_52_week,kg,16441736108.05275
SWITCH,PJMW,2040,base_52_week,kg,10843445675.3163
SWITCH,RMRG,2040,base_52_week,kg,715069455.1799529
SWITCH,SPPC,2040,base_52_week,kg,541553853.2984849
SWITCH,SPPN,2040,base_52_week,kg,241782726.92220864
SWITCH,SPPS,2040,base_52_week,kg,2790759612.855371
SWITCH,SRCA,2040,base_52_week,kg,4351992696.103168
SWITCH,SRCE,2040,base_52_week,kg,4447143996.347253
SWITCH,SRSE,2040,base_52_week,kg,6773320955.632238
SWITCH,SRSG,2040,base_52_week,kg,4007664976.0428686
SWITCH,TRE,2040,base_52_week,kg,9343460753.70509
SWITCH,TREW,2040,base_52_week,kg,1442300681.4668636
SWITCH,BASN,2045,base_52_week,kg,3331972484.5924454
SWITCH,CANO,2045,base_52_week,kg,4379974117.053092
SWITCH,CASO,2045,base_52_week,kg,4868307395.345294
SWITCH,FRCC,2045,base_52_week,kg,10223219605.329277
SWITCH,ISNE,2045,base_52_week,kg,12237145197.886671
SWITCH,MISC,2045,base_52_week,kg,3505321743.269554
SWITCH,MISE,2045,base_52_week,kg,2604773252.1908927
SWITCH,MISS,2045,base_52_week,kg,7442978475.012235
SWITCH,MISW,2045,base_52_week,kg,4356017990.751381
SWITCH,NWPP,2045,base_52_week,kg,2274608919.6666365
SWITCH,NYCW,2045,base_52_week,kg,1460692548.0694842
SWITCH,NYUP,2045,base_52_week,kg,2165795108.2858324
SWITCH,PJMC,2045,base_52_week,kg,2730024314.481189
SWITCH,PJMD,2045,base_52_week,kg,3054211987.6998076
SWITCH,PJME,2045,base_52_week,kg,15527530307.331259
SWITCH,PJMW,2045,base_52_week,kg,11898731739.631569
SWITCH,RMRG,2045,base_52_week,kg,706537771.6119193
SWITCH,SPPC,2045,base_52_week,kg,599521025.5710826
SWITCH,SPPN,2045,base_52_week,kg,294030743.59822834
SWITCH,SPPS,2045,base_52_week,kg,2783536552.695526
SWITCH,SRCA,2045,base_52_week,kg,4885147447.094063
SWITCH,SRCE,2045,base_52_week,kg,4466258783.143918
SWITCH,SRSE,2045,base_52_week,kg,7551749795.212869
SWITCH,SRSG,2045,base_52_week,kg,3986166130.203508
SWITCH,TRE,2045,base_52_week,kg,10077329030.461697
SWITCH,TREW,2045,base_52_week,kg,1396707255.756723
SWITCH,BASN,2050,base_52_week,kg,2918800262.231746
SWITCH,CANO,2050,base_52_week,kg,3961536545.701774
SWITCH,CASO,2050,base_52_week,kg,4433445938.847419
SWITCH,FRCC,2050,base_52_week,kg,9654050016.056683
SWITCH,ISNE,2050,base_52_week,kg,11701991092.028137
SWITCH,MISC,2050,base_52_week,kg,3267157738.6520543
SWITCH,MISE,2050,base_52_week,kg,3081592894.7403326
SWITCH,MISS,2050,base_52_week,kg,6524508832.449502
SWITCH,MISW,2050,base_52_week,kg,3676690287.301982
SWITCH,NWPP,2050,base_52_week,kg,2139797433.2153249
SWITCH,NYCW,2050,base_52_week,kg,1229873957.7605574
SWITCH,NYUP,2050,base_52_week,kg,2008029600.6384358
SWITCH,PJMC,2050,base_52_week,kg,2394069305.343962
SWITCH,PJMD,2050,base_52_week,kg,2224734366.2273088
SWITCH,PJME,2050,base_52_week,kg,13985301007.831264
SWITCH,PJMW,2050,base_52_week,kg,11528403748.746056
SWITCH,RMRG,2050,base_52_week,kg,566730263.9915375
SWITCH,SPPC,2050,base_52_week,kg,453583420.51823103
SWITCH,SPPN,2050,base_52_week,kg,225538745.1938202
SWITCH,SPPS,2050,base_52_week,kg,2388879705.7601695
SWITCH,SRCA,2050,base_52_week,kg,4417002253.122383
SWITCH,SRCE,2050,base_52_week,kg,3735962394.5630083
SWITCH,SRSE,2050,base_52_week,kg,7123221078.655973
SWITCH,SRSG,2050,base_52_week,kg,3333487988.6930084
SWITCH,TRE,2050,base_52_week,kg,8904531155.667267
SWITCH,TREW,2050,base_52_week,kg,1205230366.7636385
