period,value,model,zone,resource_name,tech_type,case,timestep,unit,planning_year
2027,0.10171994606477992,SWITCH,BASN,BASN_natural_gas_internal_combustion_engine_1,Natural Gas,base_52_week,all,MWh,2027
2027,0.032742583917173974,SWITCH,BASN,BASN_natural_gas_steam_turbine_1,Natural Gas,base_52_week,all,MWh,2027
2027,0.024814412419242735,SWITCH,BASN,BASN_naturalgas_fframe_ct_moderate_0,Natural Gas,base_52_week,all,MWh,2027
2027,0.1459715855478902,SWITCH,BASN,BASN_naturalgas_hframe_cc_moderate_0,Natural Gas,base_52_week,all,MWh,2027
2027,0.012219229897807835,SWITCH,BASN,BASN_nuclear_nuclear_moderate_0,Nuclear,base_52_week,all,MWh,2027
2027,3989669.640861009,SWITCH,BASN,BASN_onshore_wind_turbine_1,Wind,base_52_week,all,MWh,2027
2027,0.004894556116698533,SWITCH,BASN,BASN_petroleum_liquids_1,Other,base_52_week,all,MWh,2027
2027,1643290.520634471,SWITCH,BASN,BASN_small_hydroelectric_1,Hydro,base_52_week,all,MWh,2027
2027,19972031.0812702,SWITCH,BASN,BASN_solar_photovoltaic_1,Solar,base_52_week,all,MWh,2027
2027,0.25605482353638037,SWITCH,BASN,BASN_utilitypv_class1_moderate_0_anyQual_0,Solar,base_52_week,all,MWh,2027
2027,0.2025740419646393,SWITCH,BASN,BASN_utilitypv_class1_moderate_1_anyQual_1,Solar,base_52_week,all,MWh,2027
2027,0.1285121651801711,SWITCH,BASN,BASN_utilitypv_class1_moderate_2_anyQual_0,Solar,base_52_week,all,MWh,2027
2027,0.12029206131263809,SWITCH,BASN,BASN_utilitypv_class1_moderate_3_anyQual_1,Solar,base_52_week,all,MWh,2027
2027,0.1142639292617554,SWITCH,BASN,BASN_utilitypv_class1_moderate_4_anyQual_0,Solar,base_52_week,all,MWh,2027
2027,0.08436594912482147,SWITCH,BASN,BASN_utilitypv_class1_moderate_5_anyQual_1,Solar,base_52_week,all,MWh,2027
2027,0.12158398291175233,SWITCH,BASN,BASN_utilitypv_class1_moderate_6_anyQual_0,Solar,base_52_week,all,MWh,2027
2027,0.06875747081390712,SWITCH,BASN,BASN_utilitypv_class1_moderate_7_anyQual_1,Solar,base_52_week,all,MWh,2027
2027,0.09932727676184758,SWITCH,BASN,BASN_utilitypv_class1_moderate_8_anyQual_0,Solar,base_52_week,all,MWh,2027
2027,0.06302381916199132,SWITCH,BASN,BASN_utilitypv_class1_moderate_9_anyQual_1,Solar,base_52_week,all,MWh,2027
2027,215631.0286781271,SWITCH,CANO,CANO_batteries_1,Battery,base_52_week,all,MWh,2027
2027,0.11053415600052015,SWITCH,CANO,CANO_battery_moderate_0,Battery,base_52_week,all,MWh,2027
2027,1363428.6055010506,SWITCH,CANO,CANO_biomass_1,Other,base_52_week,all,MWh,2027
2027,623642.8737283847,SWITCH,CANO,CANO_biomass_2,Other,base_52_week,all,MWh,2027
2027,19061954.69414474,SWITCH,CANO,CANO_conventional_hydroelectric_1,Hydro,base_52_week,all,MWh,2027
2027,10328399.521796618,SWITCH,CANO,CANO_distributed_generation_1,Distributed Solar,base_52_week,all,MWh,2027
2027,25723.785601710977,SWITCH,CANO,CANO_hydroelectric_pumped_storage_1,Hydro,base_52_week,all,MWh,2027
2027,0.004189586151584076,SWITCH,CANO,CANO_hydrogen_fframe_ct_moderate_0,Hydro,base_52_week,all,MWh,2027
2027,0.00735432459932716,SWITCH,CANO,CANO_hydrogen_hframe_cc_moderate_0,Hydro,base_52_week,all,MWh,2027
2027,0.032398397937035216,SWITCH,CANO,CANO_landbasedwind_class3_moderate_0_anyQual_0,Wind,base_52_week,all,MWh,2027
2027,0.02012898183905696,SWITCH,CANO,CANO_landbasedwind_class3_moderate_10_anyQual_0,Wind,base_52_week,all,MWh,2027
2027,0.016660955633298072,SWITCH,CANO,CANO_landbasedwind_class3_moderate_11_anyQual_1,Wind,base_52_week,all,MWh,2027
2027,0.060580842715650604,SWITCH,CANO,CANO_landbasedwind_class3_moderate_1_anyQual_1,Wind,base_52_week,all,MWh,2027
2027,0.024775186475787483,SWITCH,CANO,CANO_landbasedwind_class3_moderate_2_anyQual_0,Wind,base_52_week,all,MWh,2027
2027,0.026060976936866532,SWITCH,CANO,CANO_landbasedwind_class3_moderate_3_anyQual_1,Wind,base_52_week,all,MWh,2027
2027,0.02358322811812797,SWITCH,CANO,CANO_landbasedwind_class3_moderate_4_anyQual_0,Wind,base_52_week,all,MWh,2027
2027,0.026868664431171654,SWITCH,CANO,CANO_landbasedwind_class3_moderate_5_anyQual_1,Wind,base_52_week,all,MWh,2027
2027,0.02105927460201418,SWITCH,CANO,CANO_landbasedwind_class3_moderate_6_anyQual_0,Wind,base_52_week,all,MWh,2027
2027,0.021279820679269854,SWITCH,CANO,CANO_landbasedwind_class3_moderate_7_anyQual_1,Wind,base_52_week,all,MWh,2027
2027,0.022287330905547173,SWITCH,CANO,CANO_landbasedwind_class3_moderate_8_anyQual_0,Wind,base_52_week,all,MWh,2027
2027,0.017738051335745634,SWITCH,CANO,CANO_landbasedwind_class3_moderate_9_anyQual_1,Wind,base_52_week,all,MWh,2027
2027,1719013.8892682272,SWITCH,CANO,CANO_natural_gas_fired_combined_cycle_1,Natural Gas,base_52_week,all,MWh,2027
2027,48234268.41690429,SWITCH,CANO,CANO_natural_gas_fired_combined_cycle_2,Natural Gas,base_52_week,all,MWh,2027
2027,0.05400284221102123,SWITCH,CANO,CANO_natural_gas_fired_combustion_turbine_1,Natural Gas,base_52_week,all,MWh,2027
2027,0.05078371885913826,SWITCH,CANO,CANO_natural_gas_fired_combustion_turbine_2,Natural Gas,base_52_week,all,MWh,2027
2027,0.16784675624402623,SWITCH,CANO,CANO_natural_gas_internal_combustion_engine_1,Natural Gas,base_52_week,all,MWh,2027
2027,3737.741094080594,SWITCH,CANO,CANO_natural_gas_steam_turbine_1,Natural Gas,base_52_week,all,MWh,2027
2027,0.02227921514008662,SWITCH,CANO,CANO_naturalgas_fframe_ct_moderate_0,Natural Gas,base_52_week,all,MWh,2027
2027,0.029062325941475575,SWITCH,CANO,CANO_naturalgas_hframe_cc_95_ccs_moderate_0,CCS,base_52_week,all,MWh,2027
2027,0.08271688072440869,SWITCH,CANO,CANO_naturalgas_hframe_cc_moderate_0,Natural Gas,base_52_week,all,MWh,2027
2027,0.010428994343505823,SWITCH,CANO,CANO_nuclear_nuclear_moderate_0,Nuclear,base_52_week,all,MWh,2027
2027,0.005627643996831062,SWITCH,CANO,CANO_offshorewind_class12_moderate_floating_0_1,Wind,base_52_week,all,MWh,2027
2027,0.006171342100309089,SWITCH,CANO,CANO_offshorewind_class12_moderate_floating_0_2,Wind,base_52_week,all,MWh,2027
2027,0.0055135161559167626,SWITCH,CANO,CANO_offshorewind_class12_moderate_floating_0_3,Wind,base_52_week,all,MWh,2027
2027,0.01073825783120578,SWITCH,CANO,CANO_offshorewind_class12_moderate_floating_1_1,Wind,base_52_week,all,MWh,2027
2027,0.01160190416158922,SWITCH,CANO,CANO_offshorewind_class12_moderate_floating_1_2,Wind,base_52_week,all,MWh,2027
2027,0.011625977718731601,SWITCH,CANO,CANO_offshorewind_class12_moderate_floating_1_3,Wind,base_52_week,all,MWh,2027
2027,0.020972076084084194,SWITCH,CANO,CANO_offshorewind_class3_moderate_fixed_0_1,Wind,base_52_week,all,MWh,2027
2027,0.019983784300710187,SWITCH,CANO,CANO_offshorewind_class3_moderate_fixed_0_2,Wind,base_52_week,all,MWh,2027
2027,0.022099473093428575,SWITCH,CANO,CANO_offshorewind_class3_moderate_fixed_0_3,Wind,base_52_week,all,MWh,2027
2027,2448414.1737684933,SWITCH,CANO,CANO_onshore_wind_turbine_1,Wind,base_52_week,all,MWh,2027
2027,0.005029523062742441,SWITCH,CANO,CANO_petroleum_liquids_1,Other,base_52_week,all,MWh,2027
2027,2005750.6537546706,SWITCH,CANO,CANO_small_hydroelectric_1,Hydro,base_52_week,all,MWh,2027
2027,15350868.909539014,SWITCH,CANO,CANO_solar_photovoltaic_1,Solar,base_52_week,all,MWh,2027
2027,0.08892005130136274,SWITCH,CANO,CANO_utilitypv_class1_moderate_0_anyQual_0,Solar,base_52_week,all,MWh,2027
2027,0.04999436634681145,SWITCH,CANO,CANO_utilitypv_class1_moderate_10_anyQual_0,Solar,base_52_week,all,MWh,2027
2027,0.07570473203523699,SWITCH,CANO,CANO_utilitypv_class1_moderate_11_anyQual_1,Solar,base_52_week,all,MWh,2027
2027,0.03364370971383143,SWITCH,CANO,CANO_utilitypv_class1_moderate_12_anyQual_0,Solar,base_52_week,all,MWh,2027
2027,0.03435087488717156,SWITCH,CANO,CANO_utilitypv_class1_moderate_13_anyQual_0,Solar,base_52_week,all,MWh,2027
2027,0.03722499548096763,SWITCH,CANO,CANO_utilitypv_class1_moderate_14_anyQual_0,Solar,base_52_week,all,MWh,2027
2027,0.0659220961096437,SWITCH,CANO,CANO_utilitypv_class1_moderate_15_anyQual_1,Solar,base_52_week,all,MWh,2027
2027,0.029950179840069157,SWITCH,CANO,CANO_utilitypv_class1_moderate_16_anyQual_0,Solar,base_52_week,all,MWh,2027
2027,0.029659210898200596,SWITCH,CANO,CANO_utilitypv_class1_moderate_17_anyQual_0,Solar,base_52_week,all,MWh,2027
2027,0.03749961075862815,SWITCH,CANO,CANO_utilitypv_class1_moderate_18_anyQual_0,Solar,base_52_week,all,MWh,2027
2027,0.048976880432790505,SWITCH,CANO,CANO_utilitypv_class1_moderate_19_anyQual_1,Solar,base_52_week,all,MWh,2027
2027,0.11628888988557709,SWITCH,CANO,CANO_utilitypv_class1_moderate_1_anyQual_0,Solar,base_52_week,all,MWh,2027
2027,0.26983640840421824,SWITCH,CANO,CANO_utilitypv_class1_moderate_2_anyQual_0,Solar,base_52_week,all,MWh,2027
2027,0.11105277542441852,SWITCH,CANO,CANO_utilitypv_class1_moderate_3_anyQual_1,Solar,base_52_week,all,MWh,2027
2027,0.04880832894143481,SWITCH,CANO,CANO_utilitypv_class1_moderate_4_anyQual_0,Solar,base_52_week,all,MWh,2027
2027,0.054634805291061045,SWITCH,CANO,CANO_utilitypv_class1_moderate_5_anyQual_0,Solar,base_52_week,all,MWh,2027
2027,0.0888898983960804,SWITCH,CANO,CANO_utilitypv_class1_moderate_6_anyQual_0,Solar,base_52_week,all,MWh,2027
2027,0.10325258665657269,SWITCH,CANO,CANO_utilitypv_class1_moderate_7_anyQual_1,Solar,base_52_week,all,MWh,2027
2027,0.03766995911531328,SWITCH,CANO,CANO_utilitypv_class1_moderate_8_anyQual_0,Solar,base_52_week,all,MWh,2027
2027,0.05308237703123199,SWITCH,CANO,CANO_utilitypv_class1_moderate_9_anyQual_0,Solar,base_52_week,all,MWh,2027
2027,3816692.0883191465,SWITCH,CASO,CASO_batteries_1,Battery,base_52_week,all,MWh,2027
2027,0.11518557525350813,SWITCH,CASO,CASO_battery_moderate_0,Battery,base_52_week,all,MWh,2027
2027,1023116.1333328115,SWITCH,CASO,CASO_biomass_1,Other,base_52_week,all,MWh,2027
2027,207476.88780958933,SWITCH,CASO,CASO_biomass_2,Other,base_52_week,all,MWh,2027
2027,2426165.371567618,SWITCH,CASO,CASO_conventional_hydroelectric_1,Hydro,base_52_week,all,MWh,2027
2027,16073831.238894466,SWITCH,CASO,CASO_distributed_generation_1,Distributed Solar,base_52_week,all,MWh,2027
2027,206739.17537123815,SWITCH,CASO,CASO_geothermal_1,Geothermal,base_52_week,all,MWh,2027
2027,66247.72792149943,SWITCH,CASO,CASO_hydroelectric_pumped_storage_1,Hydro,base_52_week,all,MWh,2027
2027,0.0042273703492267545,SWITCH,CASO,CASO_hydrogen_fframe_ct_moderate_0,Hydro,base_52_week,all,MWh,2027
2027,0.007505683345126381,SWITCH,CASO,CASO_hydrogen_hframe_cc_moderate_0,Hydro,base_52_week,all,MWh,2027
2027,0.234319131571704,SWITCH,CASO,CASO_landbasedwind_class3_moderate_0_anyQual_0,Wind,base_52_week,all,MWh,2027
2027,0.03854953756411207,SWITCH,CASO,CASO_landbasedwind_class3_moderate_10_anyQual_0,Wind,base_52_week,all,MWh,2027
2027,0.04357355847396557,SWITCH,CASO,CASO_landbasedwind_class3_moderate_11_anyQual_1,Wind,base_52_week,all,MWh,2027
2027,0.15798239327531308,SWITCH,CASO,CASO_landbasedwind_class3_moderate_1_anyQual_1,Wind,base_52_week,all,MWh,2027
2027,0.10170938952150026,SWITCH,CASO,CASO_landbasedwind_class3_moderate_2_anyQual_0,Wind,base_52_week,all,MWh,2027
2027,0.1086761965538649,SWITCH,CASO,CASO_landbasedwind_class3_moderate_3_anyQual_1,Wind,base_52_week,all,MWh,2027
2027,0.0788329737783352,SWITCH,CASO,CASO_landbasedwind_class3_moderate_4_anyQual_0,Wind,base_52_week,all,MWh,2027
2027,0.08281254543717993,SWITCH,CASO,CASO_landbasedwind_class3_moderate_5_anyQual_1,Wind,base_52_week,all,MWh,2027
2027,0.05643326873649081,SWITCH,CASO,CASO_landbasedwind_class3_moderate_6_anyQual_0,Wind,base_52_week,all,MWh,2027
2027,0.0588177358804422,SWITCH,CASO,CASO_landbasedwind_class3_moderate_7_anyQual_1,Wind,base_52_week,all,MWh,2027
2027,0.04905923522075955,SWITCH,CASO,CASO_landbasedwind_class3_moderate_8_anyQual_0,Wind,base_52_week,all,MWh,2027
2027,0.04673647157132203,SWITCH,CASO,CASO_landbasedwind_class3_moderate_9_anyQual_1,Wind,base_52_week,all,MWh,2027
2027,220099.9541249251,SWITCH,CASO,CASO_natural_gas_fired_combined_cycle_1,Natural Gas,base_52_week,all,MWh,2027
2027,51843822.14799291,SWITCH,CASO,CASO_natural_gas_fired_combined_cycle_2,Natural Gas,base_52_week,all,MWh,2027
2027,0.05826139131081295,SWITCH,CASO,CASO_natural_gas_fired_combustion_turbine_1,Natural Gas,base_52_week,all,MWh,2027
2027,0.05521095970968467,SWITCH,CASO,CASO_natural_gas_fired_combustion_turbine_2,Natural Gas,base_52_week,all,MWh,2027
2027,31149.945248936423,SWITCH,CASO,CASO_natural_gas_internal_combustion_engine_1,Natural Gas,base_52_week,all,MWh,2027
2027,2136.315946683427,SWITCH,CASO,CASO_natural_gas_steam_turbine_1,Natural Gas,base_52_week,all,MWh,2027
2027,0.02383478630300353,SWITCH,CASO,CASO_naturalgas_fframe_ct_moderate_0,Natural Gas,base_52_week,all,MWh,2027
2027,0.026181943360687788,SWITCH,CASO,CASO_naturalgas_hframe_cc_95_ccs_moderate_0,CCS,base_52_week,all,MWh,2027
2027,0.1169712839507419,SWITCH,CASO,CASO_naturalgas_hframe_cc_moderate_0,Natural Gas,base_52_week,all,MWh,2027
2027,0.01124507082731706,SWITCH,CASO,CASO_nuclear_nuclear_moderate_0,Nuclear,base_52_week,all,MWh,2027
2027,0.006343607723108515,SWITCH,CASO,CASO_offshorewind_class12_moderate_floating_0_1,Wind,base_52_week,all,MWh,2027
2027,0.007545469634606611,SWITCH,CASO,CASO_offshorewind_class12_moderate_floating_0_2,Wind,base_52_week,all,MWh,2027
2027,0.006857658212017921,SWITCH,CASO,CASO_offshorewind_class12_moderate_floating_0_3,Wind,base_52_week,all,MWh,2027
2027,0.009083358239740715,SWITCH,CASO,CASO_offshorewind_class12_moderate_floating_1_1,Wind,base_52_week,all,MWh,2027
2027,0.009890615480508817,SWITCH,CASO,CASO_offshorewind_class12_moderate_floating_1_2,Wind,base_52_week,all,MWh,2027
2027,0.009235112042232587,SWITCH,CASO,CASO_offshorewind_class12_moderate_floating_1_3,Wind,base_52_week,all,MWh,2027
2027,0.022980299878476797,SWITCH,CASO,CASO_offshorewind_class3_moderate_fixed_0_1,Wind,base_52_week,all,MWh,2027
2027,12504818.982831893,SWITCH,CASO,CASO_onshore_wind_turbine_1,Wind,base_52_week,all,MWh,2027
2027,0.006631901006912006,SWITCH,CASO,CASO_petroleum_liquids_1,Other,base_52_week,all,MWh,2027
2027,606138.6225361279,SWITCH,CASO,CASO_small_hydroelectric_1,Hydro,base_52_week,all,MWh,2027
2027,31603548.624159265,SWITCH,CASO,CASO_solar_photovoltaic_1,Solar,base_52_week,all,MWh,2027
2027,0.2503688839815645,SWITCH,CASO,CASO_utilitypv_class1_moderate_0_anyQual_0,Solar,base_52_week,all,MWh,2027
2027,0.8748657312602008,SWITCH,CASO,CASO_utilitypv_class1_moderate_1_anyQual_1,Solar,base_52_week,all,MWh,2027
2027,0.08771692575072354,SWITCH,CASO,CASO_utilitypv_class1_moderate_2_anyQual_0,Solar,base_52_week,all,MWh,2027
2027,0.11330405012126651,SWITCH,CASO,CASO_utilitypv_class1_moderate_3_anyQual_1,Solar,base_52_week,all,MWh,2027
2027,0.05065347082509761,SWITCH,CASO,CASO_utilitypv_class1_moderate_4_anyQual_0,Solar,base_52_week,all,MWh,2027
2027,0.08024378400559744,SWITCH,CASO,CASO_utilitypv_class1_moderate_5_anyQual_1,Solar,base_52_week,all,MWh,2027
2027,0.042098597567572414,SWITCH,CASO,CASO_utilitypv_class1_moderate_6_anyQual_0,Solar,base_52_week,all,MWh,2027
2027,0.07080835124216524,SWITCH,CASO,CASO_utilitypv_class1_moderate_7_anyQual_1,Solar,base_52_week,all,MWh,2027
2027,0.03336093924074097,SWITCH,CASO,CASO_utilitypv_class1_moderate_8_anyQual_0,Solar,base_52_week,all,MWh,2027
2027,0.04116563546699618,SWITCH,CASO,CASO_utilitypv_class1_moderate_9_anyQual_1,Solar,base_52_week,all,MWh,2027
2027,1762.7277034952585,SWITCH,FRCC,FRCC_batteries_1,Battery,base_52_week,all,MWh,2027
2027,0.11403074958649827,SWITCH,FRCC,FRCC_battery_moderate_0,Battery,base_52_week,all,MWh,2027
2027,881713.8447392329,SWITCH,FRCC,FRCC_biomass_1,Other,base_52_week,all,MWh,2027
2027,1011653.1955986731,SWITCH,FRCC,FRCC_biomass_2,Other,base_52_week,all,MWh,2027
2027,116784.85801170678,SWITCH,FRCC,FRCC_conventional_hydroelectric_1,Hydro,base_52_week,all,MWh,2027
2027,236901.3573180525,SWITCH,FRCC,FRCC_conventional_steam_coal_1,Coal,base_52_week,all,MWh,2027
2027,0.032653456015236566,SWITCH,FRCC,FRCC_conventional_steam_coal_2,Coal,base_52_week,all,MWh,2027
2027,5852550.104657527,SWITCH,FRCC,FRCC_distributed_generation_1,Distributed Solar,base_52_week,all,MWh,2027
2027,0.004130484588952485,SWITCH,FRCC,FRCC_hydrogen_fframe_ct_moderate_0,Hydro,base_52_week,all,MWh,2027
2027,0.00735930516515627,SWITCH,FRCC,FRCC_hydrogen_hframe_cc_moderate_0,Hydro,base_52_week,all,MWh,2027
2027,0.1952257859831294,SWITCH,FRCC,FRCC_landbasedwind_class3_moderate_0_anyQual_0,Wind,base_52_week,all,MWh,2027
2027,0.13172147590860825,SWITCH,FRCC,FRCC_landbasedwind_class3_moderate_10_anyQual_1,Wind,base_52_week,all,MWh,2027
2027,0.1424957982085812,SWITCH,FRCC,FRCC_landbasedwind_class3_moderate_11_anyQual_1,Wind,base_52_week,all,MWh,2027
2027,0.1615642036088909,SWITCH,FRCC,FRCC_landbasedwind_class3_moderate_12_anyQual_0,Wind,base_52_week,all,MWh,2027
2027,0.11047225452316065,SWITCH,FRCC,FRCC_landbasedwind_class3_moderate_13_anyQual_0,Wind,base_52_week,all,MWh,2027
2027,0.22065449276980845,SWITCH,FRCC,FRCC_landbasedwind_class3_moderate_14_anyQual_0,Wind,base_52_week,all,MWh,2027
2027,0.1047583130421363,SWITCH,FRCC,FRCC_landbasedwind_class3_moderate_15_anyQual_1,Wind,base_52_week,all,MWh,2027
2027,0.09482281298846681,SWITCH,FRCC,FRCC_landbasedwind_class3_moderate_16_anyQual_1,Wind,base_52_week,all,MWh,2027
2027,0.16087430444157197,SWITCH,FRCC,FRCC_landbasedwind_class3_moderate_17_anyQual_1,Wind,base_52_week,all,MWh,2027
2027,0.126988046107782,SWITCH,FRCC,FRCC_landbasedwind_class3_moderate_18_anyQual_0,Wind,base_52_week,all,MWh,2027
2027,0.09050375339995827,SWITCH,FRCC,FRCC_landbasedwind_class3_moderate_19_anyQual_0,Wind,base_52_week,all,MWh,2027
2027,0.23186757055340573,SWITCH,FRCC,FRCC_landbasedwind_class3_moderate_1_anyQual_0,Wind,base_52_week,all,MWh,2027
2027,0.07930230632584344,SWITCH,FRCC,FRCC_landbasedwind_class3_moderate_20_anyQual_0,Wind,base_52_week,all,MWh,2027
2027,0.09058208395738353,SWITCH,FRCC,FRCC_landbasedwind_class3_moderate_21_anyQual_1,Wind,base_52_week,all,MWh,2027
2027,0.09471698145427061,SWITCH,FRCC,FRCC_landbasedwind_class3_moderate_22_anyQual_1,Wind,base_52_week,all,MWh,2027
2027,0.0978370720509474,SWITCH,FRCC,FRCC_landbasedwind_class3_moderate_23_anyQual_1,Wind,base_52_week,all,MWh,2027
2027,0.32480455373044387,SWITCH,FRCC,FRCC_landbasedwind_class3_moderate_2_anyQual_0,Wind,base_52_week,all,MWh,2027
2027,0.35900680482117964,SWITCH,FRCC,FRCC_landbasedwind_class3_moderate_3_anyQual_1,Wind,base_52_week,all,MWh,2027
2027,0.15026363231688908,SWITCH,FRCC,FRCC_landbasedwind_class3_moderate_4_anyQual_1,Wind,base_52_week,all,MWh,2027
2027,0.24464658542423953,SWITCH,FRCC,FRCC_landbasedwind_class3_moderate_5_anyQual_1,Wind,base_52_week,all,MWh,2027
2027,0.1313124517571697,SWITCH,FRCC,FRCC_landbasedwind_class3_moderate_6_anyQual_0,Wind,base_52_week,all,MWh,2027
2027,0.241850495692682,SWITCH,FRCC,FRCC_landbasedwind_class3_moderate_7_anyQual_0,Wind,base_52_week,all,MWh,2027
2027,0.24662973647545186,SWITCH,FRCC,FRCC_landbasedwind_class3_moderate_8_anyQual_0,Wind,base_52_week,all,MWh,2027
2027,0.1403613832721327,SWITCH,FRCC,FRCC_landbasedwind_class3_moderate_9_anyQual_1,Wind,base_52_week,all,MWh,2027
2027,198115609.7543203,SWITCH,FRCC,FRCC_natural_gas_fired_combined_cycle_1,Natural Gas,base_52_week,all,MWh,2027
2027,733989.9343808433,SWITCH,FRCC,FRCC_natural_gas_fired_combined_cycle_2,Natural Gas,base_52_week,all,MWh,2027
2027,0.03556587654293788,SWITCH,FRCC,FRCC_natural_gas_fired_combustion_turbine_1,Natural Gas,base_52_week,all,MWh,2027
2027,0.02994217905870383,SWITCH,FRCC,FRCC_natural_gas_fired_combustion_turbine_2,Natural Gas,base_52_week,all,MWh,2027
2027,910.5448529314045,SWITCH,FRCC,FRCC_natural_gas_internal_combustion_engine_1,Natural Gas,base_52_week,all,MWh,2027
2027,0.03930923593145358,SWITCH,FRCC,FRCC_natural_gas_steam_turbine_1,Natural Gas,base_52_week,all,MWh,2027
2027,0.02278853060266488,SWITCH,FRCC,FRCC_naturalgas_fframe_ct_moderate_0,Natural Gas,base_52_week,all,MWh,2027
2027,0.02784055121138551,SWITCH,FRCC,FRCC_naturalgas_hframe_cc_95_ccs_moderate_0,CCS,base_52_week,all,MWh,2027
2027,0.10653164875501982,SWITCH,FRCC,FRCC_naturalgas_hframe_cc_moderate_0,Natural Gas,base_52_week,all,MWh,2027
2027,32646431.957203593,SWITCH,FRCC,FRCC_nuclear_1,Nuclear,base_52_week,all,MWh,2027
2027,0.013595918555373938,SWITCH,FRCC,FRCC_nuclear_nuclear_moderate_0,Nuclear,base_52_week,all,MWh,2027
2027,0.004907928111315035,SWITCH,FRCC,FRCC_offshorewind_class12_moderate_floating_0_1,Wind,base_52_week,all,MWh,2027
2027,0.004381996071462802,SWITCH,FRCC,FRCC_offshorewind_class12_moderate_floating_0_2,Wind,base_52_week,all,MWh,2027
2027,0.00442534090088822,SWITCH,FRCC,FRCC_offshorewind_class12_moderate_floating_0_3,Wind,base_52_week,all,MWh,2027
2027,0.005861423593570926,SWITCH,FRCC,FRCC_offshorewind_class3_moderate_fixed_0_1,Wind,base_52_week,all,MWh,2027
2027,0.0059071384852175,SWITCH,FRCC,FRCC_offshorewind_class3_moderate_fixed_0_2,Wind,base_52_week,all,MWh,2027
2027,0.006166006523584311,SWITCH,FRCC,FRCC_offshorewind_class3_moderate_fixed_0_3,Wind,base_52_week,all,MWh,2027
2027,0.01708724444899864,SWITCH,FRCC,FRCC_offshorewind_class3_moderate_fixed_1_1,Wind,base_52_week,all,MWh,2027
