period,value,model,zone,resource_name,tech_type,case,timestep,unit,planning_year
2027,114106.22653147382,SWITCH,BASN,BASN_batteries_1,Battery,base_52_week,all,MWh,2027
2027,0.1208471994213976,SWITCH,BASN,BASN_battery_moderate_0,Battery,base_52_week,all,MWh,2027
2027,70108.97456683891,SWITCH,BASN,BASN_biomass_1,Other,base_52_week,all,MWh,2027
2027,178146.29744563822,SWITCH,BASN,BASN_biomass_2,Other,base_52_week,all,MWh,2027
2027,8470831.270918626,SWITCH,BASN,BASN_conventional_hydroelectric_1,Hydro,base_52_week,all,MWh,2027
2027,2760759.1048381147,SWITCH,BASN,BASN_conventional_steam_coal_1,Coal,base_52_week,all,MWh,2027
2027,11621687.094240585,SWITCH,BASN,BASN_conventional_steam_coal_2,Coal,base_52_week,all,MWh,2027
2027,2824065.385653545,SWITCH,BASN,BASN_distributed_generation_1,Distributed Solar,base_52_week,all,MWh,2027
2027,4035042.598090902,SWITCH,BASN,BASN_geothermal_1,Geothermal,base_52_week,all,MWh,2027
2027,0.004187415829899914,SWITCH,BASN,BASN_hydrogen_fframe_ct_moderate_0,Hydro,base_52_week,all,MWh,2027
2027,0.007522332419855728,SWITCH,BASN,BASN_hydrogen_hframe_cc_moderate_0,Hydro,base_52_week,all,MWh,2027
2027,29833812.817597292,SWITCH,BASN,BASN_landbasedwind_class3_moderate_0_anyQual_0,Wind,base_52_week,all,MWh,2027
2027,0.06147361825123992,SWITCH,BASN,BASN_landbasedwind_class3_moderate_10_anyQual_0,Wind,base_52_week,all,MWh,2027
2027,0.06019982762950866,SWITCH,BASN,BASN_landbasedwind_class3_moderate_11_anyQual_1,Wind,base_52_week,all,MWh,2027
2027,8748402.367828691,SWITCH,BASN,BASN_landbasedwind_class3_moderate_1_anyQual_1,Wind,base_52_week,all,MWh,2027
2027,0.1867771649364915,SWITCH,BASN,BASN_landbasedwind_class3_moderate_2_anyQual_0,Wind,base_52_week,all,MWh,2027
2027,0.20396722117828814,SWITCH,BASN,BASN_landbasedwind_class3_moderate_3_anyQual_1,Wind,base_52_week,all,MWh,2027
2027,0.11522488389372927,SWITCH,BASN,BASN_landbasedwind_class3_moderate_4_anyQual_0,Wind,base_52_week,all,MWh,2027
2027,0.11847930028622695,SWITCH,BASN,BASN_landbasedwind_class3_moderate_5_anyQual_1,Wind,base_52_week,all,MWh,2027
2027,0.09066308558191002,SWITCH,BASN,BASN_landbasedwind_class3_moderate_6_anyQual_0,Wind,base_52_week,all,MWh,2027
2027,0.084044058406081,SWITCH,BASN,BASN_landbasedwind_class3_moderate_7_anyQual_1,Wind,base_52_week,all,MWh,2027
2027,0.0722699172722351,SWITCH,BASN,BASN_landbasedwind_class3_moderate_8_anyQual_0,Wind,base_52_week,all,MWh,2027
2027,0.07361137236903775,SWITCH,BASN,BASN_landbasedwind_class3_moderate_9_anyQual_1,Wind,base_52_week,all,MWh,2027
2027,907530.5706680856,SWITCH,BASN,BASN_natural_gas_fired_combined_cycle_1,Natural Gas,base_52_week,all,MWh,2027
2027,30882305.70331152,SWITCH,BASN,BASN_natural_gas_fired_combined_cycle_2,Natural Gas,base_52_week,all,MWh,2027
2027,0.04096004132505412,SWITCH,BASN,BASN_natural_gas_fired_combustion_turbine_1,Natural Gas,base_52_week,all,MWh,2027
2027,0.05843997786394027,SWITCH,BASN,BASN_natural_gas_fired_combustion_turbine_2,Natural Gas,base_52_week,all,MWh,2027
