model,line_name,planning_year,case,unit,start_value,end_value
SWITCH,BASN_to_SRSG,2027,base_52_week,MW,5385.0,5385.000000801651
SWITCH,SRCE_to_MISS,2027,base_52_week,MW,4092.0,4092.000000417153
SWITCH,SRCE_to_SRSE,2027,base_52_week,MW,3196.0,3196.000000094494
SWITCH,SPPS_to_MISS,2027,base_52_week,MW,1697.0,1697.0000185949073
SWITCH,SPPS_to_SRSG,2027,base_52_week,MW,1010.0,1010.0000003058092
SWITCH,SPPS_to_SPPN,2027,base_52_week,MW,0.0,0.0006400739072717
SWITCH,RMRG_to_NWPP,2027,base_52_week,MW,400.0,400.0000002769655
SWITCH,RMRG_to_SRSG,2027,base_52_week,MW,614.0,614.0000011592138
SWITCH,MISS_to_SRSE,2027,base_52_week,MW,891.0,891.0000015533157
SWITCH,CASO_to_NWPP,2027,base_52_week,MW,2858.0,2858.000000068396
SWITCH,CASO_to_SRSG,2027,base_52_week,MW,4354.0,4354.000004718441
SWITCH,SPPN_to_MISW,2027,base_52_week,MW,5512.0,5512.00001360694
SWITCH,NWPP_to_SPPN,2027,base_52_week,MW,0.0,4.136516448335821e-05
SWITCH,NWPP_to_MISW,2027,base_52_week,MW,200.0,200.0000000969968
SWITCH,RMRG_to_SPPN,2027,base_52_week,MW,410.0,1719.9395971290592
SWITCH,RMRG_to_SPPC,2027,base_52_week,MW,210.0,210.0000011805136
SWITCH,SRSG_to_TRE,2027,base_52_week,MW,0.0,6.27725419226825e-05
SWITCH,PJMC_to_MISC,2030,base_52_week,MW,5244.000000590803,5244.000000955408
SWITCH,PJMC_to_PJMW,2030,base_52_week,MW,980.0000035193198,9644.356278285068
SWITCH,PJMC_to_MISW,2030,base_52_week,MW,3200.000000094612,9118.050159584582
SWITCH,PJME_to_NYUP,2030,base_52_week,MW,1255.0000005009,4759.077065499701
SWITCH,PJME_to_PJMW,2030,base_52_week,MW,3885.000002180893,6877.401761552017
SWITCH,PJME_to_NYCW,2030,base_52_week,MW,5195.653420944494,5442.523306372722
SWITCH,PJME_to_PJMD,2030,base_52_week,MW,1200.0000273570065,4021.3395088903226
SWITCH,MISE_to_MISC,2030,base_52_week,MW,8.01203702520583e-05,1999.892942689328
SWITCH,MISE_to_PJMW,2030,base_52_week,MW,2662.000000590578,2662.000000894224
SWITCH,MISE_to_MISW,2030,base_52_week,MW,6.024090027593063e-05,800.0709134080558
SWITCH,ISNE_to_NYUP,2030,base_52_week,MW,1400.0000003306488,5756.443906588966
SWITCH,ISNE_to_NYCW,2030,base_52_week,MW,760.0000000091618,760.0000000160005
SWITCH,MISC_to_SPPC,2030,base_52_week,MW,1430.0000022020297,6457.366629541463
SWITCH,MISC_to_PJMW,2030,base_52_week,MW,5441.00000527353,5441.000009305784
SWITCH,MISC_to_SRCE,2030,base_52_week,MW,3745.0000003389314,3745.000000557272
SWITCH,MISC_to_SPPS,2030,base_52_week,MW,1172.0000005697468,4135.197322628708
SWITCH,MISC_to_MISS,2030,base_52_week,MW,1039.0000014588538,1039.0000021834014
SWITCH,MISC_to_SPPN,2030,base_52_week,MW,0.0001630592553229,1529.0157335662543
SWITCH,MISC_to_MISW,2030,base_52_week,MW,1655.000000325167,1655.000000546691
SWITCH,CANO_to_BASN,2030,base_52_week,MW,100.0000002153826,100.00000031974172
SWITCH,CANO_to_CASO,2030,base_52_week,MW,3675.000015476248,3675.000015797662
SWITCH,CANO_to_NWPP,2030,base_52_week,MW,3675.000000129954,3675.000000180661
SWITCH,TREW_to_TRE,2030,base_52_week,MW,16529.000000006377,16529.000000139902
SWITCH,TREW_to_SPPS,2030,base_52_week,MW,1733.0468724236862,6168.4402376588605
