model,line_name,planning_year,case,unit,value
SWITCH,MISC_to_SPPC,2030,base_52_week,MW,5027.366627339434
SWITCH,MISC_to_PJMW,2030,base_52_week,MW,4.032253855257295e-06
SWITCH,MISC_to_SRCE,2030,base_52_week,MW,2.1834057406522334e-07
SWITCH,MISC_to_SPPS,2030,base_52_week,MW,2963.1973220589616
SWITCH,MISC_to_MISS,2030,base_52_week,MW,7.245475899253506e-07
SWITCH,MISC_to_SPPN,2030,base_52_week,MW,1529.015570506999
SWITCH,MISC_to_MISW,2030,base_52_week,MW,2.2152380552142859e-07
SWITCH,CANO_to_BASN,2030,base_52_week,MW,1.0435911690365174e-07
SWITCH,CANO_to_CASO,2030,base_52_week,MW,3.214140633645002e-07
SWITCH,CANO_to_NWPP,2030,base_52_week,MW,5.070705810794607e-08
SWITCH,TREW_to_TRE,2030,base_52_week,MW,1.3352473615668714e-07
SWITCH,TREW_to_SPPS,2030,base_52_week,MW,4435.393365235174
SWITCH,SPPC_to_SPPS,2030,base_52_week,MW,2.1613368517137133e-07
SWITCH,SPPC_to_MISS,2030,base_52_week,MW,3014.5583161112336
SWITCH,SPPC_to_SPPN,2030,base_52_week,MW,1.6238709577010013e-06
SWITCH,SPPC_to_MISW,2030,base_52_week,MW,4.6722065506702565e-06
SWITCH,FRCC_to_SRSE,2030,base_52_week,MW,2.082433638861403e-07
SWITCH,TRE_to_SPPS,2030,base_52_week,MW,7642.533430033468
SWITCH,SRCA_to_PJMW,2030,base_52_week,MW,4.151277153141564e-07
SWITCH,SRCA_to_SRCE,2030,base_52_week,MW,1.8862448314393987e-07
SWITCH,SRCA_to_PJMD,2030,base_52_week,MW,1.279861180591979e-06
SWITCH,SRCA_to_SRSE,2030,base_52_week,MW,1.4058059605304152e-07
SWITCH,NYUP_to_NYCW,2030,base_52_week,MW,1899.9482096054567
SWITCH,PJMW_to_SRCE,2030,base_52_week,MW,1.1781139619415626e-07
SWITCH,PJMW_to_PJMD,2030,base_52_week,MW,2.6311681722290814e-09
SWITCH,BASN_to_RMRG,2030,base_52_week,MW,5.5440068535972387e-08
SWITCH,BASN_to_CASO,2030,base_52_week,MW,4.463879122340586e-06
SWITCH,BASN_to_NWPP,2030,base_52_week,MW,2.3722304831608199e-07
SWITCH,BASN_to_SRSG,2030,base_52_week,MW,1.9732387954718433e-06
SWITCH,SRCE_to_MISS,2030,base_52_week,MW,6.199384188221302e-07
SWITCH,SRCE_to_SRSE,2030,base_52_week,MW,3.224749889341183e-08
SWITCH,SPPS_to_MISS,2030,base_52_week,MW,16969.999997708805
SWITCH,SPPS_to_SRSG,2030,base_52_week,MW,7174.751023444405
SWITCH,SPPS_to_SPPN,2030,base_52_week,MW,5402.60573348354
SWITCH,RMRG_to_NWPP,2030,base_52_week,MW,3277.7131647641704
SWITCH,RMRG_to_SRSG,2030,base_52_week,MW,361.3120468698603
SWITCH,MISS_to_SRSE,2030,base_52_week,MW,6990.103918584161
SWITCH,CASO_to_NWPP,2030,base_52_week,MW,2.428910192975309e-07
SWITCH,CASO_to_SRSG,2030,base_52_week,MW,3243.6873127836307
SWITCH,SPPN_to_MISW,2030,base_52_week,MW,1.0946860129479319e-07
SWITCH,NWPP_to_SPPN,2030,base_52_week,MW,557.4458376192458
SWITCH,NWPP_to_MISW,2030,base_52_week,MW,1.152611162069661e-08
SWITCH,RMRG_to_SPPN,2030,base_52_week,MW,1947.6228737743063
SWITCH,RMRG_to_SPPC,2030,base_52_week,MW,5975.733850554575
SWITCH,SRSG_to_TRE,2030,base_52_week,MW,1564.8329907245777
SWITCH,PJMC_to_MISC,2035,base_52_week,MW,1.451098796678707e-08
SWITCH,PJMC_to_PJMW,2035,base_52_week,MW,926.619374463724
SWITCH,PJMC_to_MISW,2035,base_52_week,MW,2.1565028873737901e-07
SWITCH,PJME_to_NYUP,2035,base_52_week,MW,3804.350306353048
SWITCH,PJME_to_PJMW,2035,base_52_week,MW,20420.119091383316
SWITCH,PJME_to_NYCW,2035,base_52_week,MW,4301.614619066023
SWITCH,PJME_to_PJMD,2035,base_52_week,MW,1.6532957488379907e-05
SWITCH,MISE_to_MISC,2035,base_52_week,MW,155.1816187141469
SWITCH,MISE_to_PJMW,2035,base_52_week,MW,8.468573469144758e-07
SWITCH,MISE_to_MISW,2035,base_52_week,MW,2.448925670250901e-06
SWITCH,ISNE_to_NYUP,2035,base_52_week,MW,4111.430537448394
SWITCH,ISNE_to_NYCW,2035,base_52_week,MW,1.9920435079257004e-08
SWITCH,MISC_to_SPPC,2035,base_52_week,MW,1752.8774200586477
SWITCH,MISC_to_PJMW,2035,base_52_week,MW,1.7123875295510516e-07
SWITCH,MISC_to_SRCE,2035,base_52_week,MW,3.750792529899627e-07
SWITCH,MISC_to_SPPS,2035,base_52_week,MW,151.30924421701002
SWITCH,MISC_to_MISS,2035,base_52_week,MW,7.789464689267334e-06
SWITCH,MISC_to_SPPN,2035,base_52_week,MW,1.554544974169403e-05
SWITCH,MISC_to_MISW,2035,base_52_week,MW,6.952404874027707e-09
SWITCH,CANO_to_BASN,2035,base_52_week,MW,1.978724100126783e-07
SWITCH,CANO_to_CASO,2035,base_52_week,MW,3.2370917324442416e-07
SWITCH,CANO_to_NWPP,2035,base_52_week,MW,2.5602730602258816e-08
SWITCH,TREW_to_TRE,2035,base_52_week,MW,5.121546564623713e-07
SWITCH,TREW_to_SPPS,2035,base_52_week,MW,730.6428595516727
SWITCH,SPPC_to_SPPS,2035,base_52_week,MW,526.7803475579913
